experiment,corpus,level,variant,dict_size,ratio,train_wall_s,note
E1_FIX,weblogs,19,default_sweep_cand_112640,112640,8.671883,0.373,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=1.1s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_262144,262144,9.307214,0.357,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=1.4s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_524288,524288,9.733724,0.355,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=1.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_786432,786432,9.993196,0.373,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=2.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_1048576,1048576,10.446346,0.359,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=2.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_1310720,1310720,10.594857,0.357,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=2.9s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_1572864,1572864,10.405426,0.360,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=3.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_1835008,1835008,10.624834,0.363,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=3.6s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_cand_2097152,2097152,10.713064,0.383,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=2500.9s; accumulated=4.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,weblogs,19,default_sweep_winner,2097152,10.692148,0.383,"winner=default_2097152b (by val_ratio=10.713064); trainer=default(fastCOVER, --train); equal-compute budget=2500.9s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
E1_FIX,apijson,3,default_sweep_cand_16384,16384,3.938358,1.864,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=1.9s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_65536,65536,4.206812,0.370,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=2.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_112640,112640,4.236125,0.460,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=2.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_262144,262144,4.374252,0.336,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=3.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_524288,524288,4.457297,0.282,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=3.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_786432,786432,4.486178,0.292,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=3.6s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_1048576,1048576,4.537878,0.283,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=3.9s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_1310720,1310720,4.522535,0.304,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=4.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_1572864,1572864,4.522535,0.464,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=4.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_1835008,1835008,4.522535,0.524,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=5.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_cand_2097152,1996230,4.031529,0.489,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=131.0s; accumulated=5.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,3,default_sweep_winner,1048576,4.246075,0.283,"winner=default_1048576b (by val_ratio=4.537878); trainer=default(fastCOVER, --train); equal-compute budget=131.0s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
